N,time_shell_avg,ops_shell_avg,time_merge_avg,ops_merge_avg
100,9.845998138189316e-05,2195.8,0.00015767980366945266,1212.8
200,0.00026041995733976363,5183.0,0.0003648800775408745,2824.4
300,0.00035287998616695404,8636.2,0.0004434799775481224,4579.6
400,0.0005548000335693359,12198.4,0.000685659795999527,6439.6
500,0.0006946198642253876,14734.2,0.0009195398539304733,8334.4
600,0.0008146798238158226,19471.4,0.0010625999420881271,10356.4
700,0.0012240000069141388,22740.4,0.0012893799692392349,12401.4
800,0.0020018599927425383,28299.2,0.0019167602062225343,14484.0
900,0.0016727400943636894,33713.0,0.0017476798966526985,16565.4
1000,0.0020595600828528403,33503.0,0.0024911198765039445,18667.2
1100,0.001802240125834942,41124.0,0.0019895201548933983,20858.2
1200,0.0019884400069713594,46006.2,0.002271619625389576,23137.6
1300,0.0022429598495364187,51201.4,0.002371020242571831,25345.4
1400,0.0026247397065162657,50920.8,0.0028109798207879067,27614.4
1500,0.0024289598688483236,54838.4,0.0031016798689961433,29880.6
1600,0.003002619929611683,66609.6,0.0031000202521681785,32154.4
1700,0.0028751198202371596,64601.4,0.0034048596397042276,34410.6
1800,0.0034155597910284995,76216.2,0.003686699829995632,36717.2
1900,0.0031574999913573263,70749.0,0.0037063999101519586,39006.0
2000,0.003395659849047661,77770.2,0.00400226004421711,41295.0
